id;name;type
12E956B0-4130-4D33-D99F-49B42C2FECF0;cursus;keyvault
D5E54E93-1DD4-199E-A94E-30D0E2866D03;fermentum arcu.;keyvault
6B62A071-0579-D378-EC68-E0D430B93C3E;malesuada fames ac;storage
C582F86E-425A-C151-2B5C-F2F70CB90032;lorem, sit amet ultricies;storage
1033100F-37ED-69C4-E0A1-B0493FC792D6;semper cursus.;hdinsight
641C7C32-4AD5-78C1-FA7D-991D1BA52A64;Mauris eu;web app
299570FB-F338-B254-4008-B985CA126755;quis diam. Pellentesque;keyvault
540326B3-AFCE-B5B1-E3DE-2C60276E16E3;arcu.;hdinsight
273964A9-AF24-5A48-1D92-103409BEAB78;accumsan laoreet;event hub
959E6C73-C785-DBC8-F47A-1F8239454E0A;nisi;virtual machine
535D9372-21C6-4EAF-83AB-46DEC9BAEF54;Pellentesque ut ipsum ac;web app
F22EE49A-5CC2-47AB-B4C5-AE4A6F648AC0;rhoncus id,;hdinsight
CF8D8341-DEDC-AD2C-A123-CB5B16E1B612;malesuada;hdinsight
8255F84B-C834-DFA7-A144-55DE056F230A;turpis. Nulla aliquet.;storage
2EEE1722-966B-293D-2F97-89118AEC75DF;Nam ac;web app
7F1EB984-02C7-EE9C-475A-8F0DE7838DDC;nec,;sql Azure
4D34A2EE-CB23-AED4-C4A9-AF1BAFDDC16C;non;web app
4701BD6D-1B5F-4630-9581-D501ABF15B2B;Fusce diam nunc,;keyvault
D436BB4A-CCD6-3CAE-9117-71BF6F252F44;neque;storage
31A02CC5-4178-37F7-1C12-851E517C8F86;Nulla facilisi. Sed neque.;storage
95AE3D51-A2FE-2A99-3789-66C26BC65DC0;scelerisque neque.;keyvault
52121AF6-5FB9-5F89-BA8F-A245E9A77D26;nascetur ridiculus mus.;sql Azure
9FF96F73-3B25-A223-A31E-ED9B4DC7652E;a, arcu. Sed et;hdinsight
5E7D6778-C627-4B51-2094-A04FEB4CF484;nonummy ipsum non;event hub
C359C6A2-A84D-9D8F-A4BB-4E43C246AF7F;purus, in molestie tortor;virtual machine
68CC62C5-7FF4-957D-5E7D-65D90994A52E;Aenean gravida nunc;virtual machine
D33D5A4B-5DC2-72B0-8168-4BC8854D9332;pellentesque massa;sql Azure
D37761F9-B496-F5B4-6242-459E5341DF9F;molestie. Sed id;event hub
A8C1A3F6-DBCF-C22D-65A2-7C3E9A6AB6B8;mauris elit,;web app
43E6B4AC-B9EF-5F1E-596F-B66F188327B4;mauris ut;web app
4DA504C7-0CA3-2A92-A6E9-1EA8E544901D;aliquet lobortis, nisi;keyvault
0DFE0773-69CB-8D24-4D76-E95B382B5C7E;ultrices;storage
BA6F4F4D-AA0A-AA5F-4AED-69FE5D174F1F;tempor diam dictum;sql Azure
A1FF482F-0DB4-8030-61B1-856AAE104BB4;elit. Aliquam;web app
659021D1-A5FB-79D5-1D66-A9154E70FEE6;sit amet, consectetuer;storage
1314C5FE-A7F0-E344-02C4-74136E83094A;egestas;sql Azure
0AF4756A-EA32-96F0-3A8B-BBDCBA04F599;eu, ultrices sit;sql Azure
23424157-AA29-30D4-F571-5FE86D723D83;Donec;storage
ED5376C8-9C47-BD0F-9528-5288835B4C14;hendrerit neque. In;storage
6F42E4D1-1E38-A2E1-F498-E88166528F6F;tincidunt;keyvault
3F6FBC9F-FC9E-9DF7-528E-F34588055B92;Nulla eget metus;keyvault
041ACE37-57F1-6620-7F9F-C5A3738E7A80;auctor.;virtual machine
2E2C5C5C-3F4A-80B9-B196-E097F8A03183;quam. Pellentesque;event hub
F07EA3C9-059D-26C1-AA9C-77E58655817D;In nec orci. Donec;keyvault
E3B3AA36-4FE5-E673-234D-3698367B333B;Integer;sql Azure
90505EBB-B05B-2FB5-DECC-5EABD0FF9BC9;facilisis;sql Azure
06154DA7-217D-10C8-8F61-C030DE31FBA0;Sed;web app
86B9D1EF-B81A-2F0D-4C41-0DFF293B089C;dolor sit amet,;sql Azure
E2A546FD-FBF6-B1F4-C4DB-6AF54FFA03B1;ridiculus mus. Donec dignissim;virtual machine
F5D0B4BE-26F4-0726-8160-AEDB3F6A2E2F;justo. Proin non massa;web app
AEBC06C0-9228-9D0C-941B-59633080DB32;tortor;virtual machine
39C45119-8A10-959D-2C30-14B33520FF08;nulla magna, malesuada vel,;keyvault
39CE169C-31EC-4A97-2140-DD64DB57D725;nunc.;event hub
04E157BE-C335-9929-1C9D-9D234188396C;libero. Donec;event hub
77A1B537-361F-B31D-DBDC-C10873BA3BDC;urna.;hdinsight
699F7F4E-B0CE-E782-6144-9795C82006CA;auctor non,;web app
5121F38F-80C3-53E7-D62D-2300E9C943EE;Ut semper pretium neque.;web app
DA6CDEF0-336D-7E4E-D012-64A52F119C15;quis, pede.;event hub
14B2C05F-65AD-F309-FB93-328ACCF2D401;risus. Nulla;storage
E651E773-4C34-6F57-5856-30790928A126;quam, elementum at,;virtual machine
4301E052-0F18-C33E-1A1C-9D64FC07AEC7;Sed;virtual machine
CDF9C297-D31C-E56B-2DFA-2A5BE81D9A48;tellus justo sit;virtual machine
AB04D897-0806-AFB7-0002-73C91ACDCECE;pede;storage
